Label,ENERGY STAR Unique ID,Brand Name,Model Name,Total Volume (cu. ft.),Daily Energy Consumption at -80ºC (kWh/day),Daily Energy Consumption at -70ºC (kWh/day),Depth (in),Height,Width,Surface Area (sq. in.),Average Energy Consumption(kWh/year)
PHCbi | 3995407,3995407.0,PHCbi,MDF-DU700ZH-PA,26.0,8.35,6.51,40.25,78.5,44.38,1786.3,3047.75
PHCbi | 3995408,3995408.0,PHCbi,MDF-DU700ZHA-PA,26.0,8.35,6.51,40.25,78.5,44.38,1786.3,3047.75
B Medical Systems S.A.R.L. | 4480929,4480929.0,B Medical Systems S.A.R.L.,U 701V,26.53,10.16,7.88,40.91,78.27,39.06,1597.94,3708.4
Thermo Scientific | 3891760,3891760.0,Thermo Scientific,TSX60086FA,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
Thermo Scientific | 3891761,3891761.0,Thermo Scientific,TSX60086LA,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
Fisher-Isotemp | 3891762,3891762.0,Fisher-Isotemp,ISO60086GA,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
VWR-Premium Series ULT | 3891763,3891763.0,VWR-Premium Series ULT,77168-786,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
Thermo Scientific | 3891764,3891764.0,Thermo Scientific,TSX60086CA,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
Fisher-Isotemp | 3891765,3891765.0,Fisher-Isotemp,ISO60086GD,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
Fisher-Isotemp | 3891766,3891766.0,Fisher-Isotemp,ISO60086GV,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
VWR-Premium Series ULT | 3891767,3891767.0,VWR-Premium Series ULT,77618-790,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
VWR-Premium Series ULT | 3891768,3891768.0,VWR-Premium Series ULT,471-1357,28.79,9.43,6.16,37.25,78.0,39.5,1471.38,3441.95
Haier | 4437468,4437468.0,Haier,DW-86L830BPT,29.14,5.98,4.43,39.29,77.95,45.08,1771.19,2182.7
Haier | 4437469,4437469.0,Haier,DW-86L830BP,29.14,5.98,4.43,39.29,77.95,45.08,1771.19,2182.7
Haier | 4437470,4437470.0,Haier,DW-86L828BPS,29.14,11.82,7.74,39.29,77.95,45.08,1771.19,4314.3
Haier | 4437471,4437471.0,Haier,DW-86L828BPST,29.14,11.82,7.74,39.29,77.95,45.08,1771.19,4314.3
Haier | 4437474,4437474.0,Haier,DW-86L829BP,29.27,9.57,6.86,38.58,77.95,45.08,1739.19,3493.05
Haier | 4437475,4437475.0,Haier,DW-86L829BPT,29.27,9.57,6.86,38.58,77.95,45.08,1739.19,3493.05
